Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
abhd-11.2 	WBGene00011029 	Yes 	Yes 		
abts-1 	WBGene00009920 	Yes 	Yes 		
acdh-1 	WBGene00016943 	Yes 	Yes 	1 	Yes
acdh-3 	WBGene00019433 	Yes 	Yes 		
acin-1 	WBGene00016601 	Yes 	Yes 	1 	Yes
acl-11 	WBGene00017888 	Yes 	Yes 		
acox-1 (acox-1.1) 	WBGene00008564 	Yes 	Yes 	1 	Yes
acs-13 	WBGene00022037 	Yes 	Yes 	1 	Yes
adsl-1 	WBGene00011064 	Yes 	Yes 	4 	Yes, embryonic lethal
afd-1 	WBGene00021009 	Yes 	Yes 	2 	Yes
aha-1 	WBGene00000095 	Yes 	Yes 		
ahcy-1 	WBGene00019322 	Yes 	Yes 	3 	Yes, embryonic lethal
aho-3 	WBGene00045192 	Yes 	Yes 	3 	Yes
akir-1 	WBGene00017088 	Yes 	Yes 		
apb-3 	WBGene00000163 	Yes 	Yes 		
apg-1 	WBGene00000158 	Yes 	Yes 	2 	Yes, embryonic lethal
aph-1 	WBGene00000147 	Yes 	Yes 		
aph-2 	WBGene00000148 	Yes 	Yes 		
apm-1 	WBGene00000150 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
aps-3 	WBGene00000165 	Yes 	Yes 		
arch-1 	WBGene00016621 	Yes 	Yes 	1 	Yes
ari-1 (ari-1.1) 	WBGene00016158 	Yes 	Yes 		
asd-2 	WBGene00006423 	Yes 	Yes 	3 	Yes, embryonic lethal
aspm-1 	WBGene00008107 	Yes 	Yes 	6 	Yes, embryonic lethal
atg-4.1 	WBGene00013595 	Yes 	Yes 		
atg-5 	WBGene00022152 	Yes 	Yes 		
atm-1 	WBGene00000227 	Yes 	Yes 	2 	Yes
atp-3 	WBGene00000230 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
B0025.4 	WBGene00015001 	Yes 	Yes 		
B0041.5 	WBGene00015009 	Yes 	Yes 	1 	Yes
B0205.6 (nfs-1) 	WBGene00015021 	Yes 	Yes 	3 	Yes, embryonic lethal
B0207.6 	WBGene00015029 	Yes 	Yes 	4 	Yes, embryonic lethal
B0261.1 	WBGene00015091 	Yes 	Yes 	3 	Yes
B0511.12 	WBGene00015237 	Yes 	Yes 	1 	Yes
B0511.13 (mppe-1) 	WBGene00015238 	Yes 	Yes 		
B0511.6 	WBGene00015232 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
B0511.7 	WBGene00015233 	Yes 	Yes 	2 	Yes
bli-4 	WBGene00000254 	Yes 	Yes 	1 	Yes
blmp-1 	WBGene00003847 	Yes 	Yes 		
bub-1 	WBGene00000275 	Yes 	Yes 	4 	Yes, embryonic lethal
C01A2.4 	WBGene00007216 	Yes 	Yes 		
C06A5.3 	WBGene00015501 	Yes 	Yes 	1 	Yes
C09D4.4 	WBGene00015635 	Yes 	Yes 		
C10H11.8 (mlst-8) 	WBGene00015697 	Yes 	Yes 	2 	Yes
C15C6.4 (popl-4) 	WBGene00007603 	Yes 	Yes 		
C16C2.4 	WBGene00007621 	Yes 	Yes 		
C17E4.6 	WBGene00007645 	Yes 	Yes 		
C18E3.5 (snrp-40.2) 	WBGene00015974 	Yes 	Yes 	1 	Yes
C25A1.1 	WBGene00007705 	Yes 	Yes 		
C25A1.4 (sup-46) 	WBGene00007706 (WBGene00045383) 	Yes 	Yes 		
C25A1.5 (fath-1) 	WBGene00007707 	Yes 	Yes 		
C27A12.2 (szy-5) 	WBGene00016154 	Yes 	Yes 		
C27A12.6 (ari-1.3) 	WBGene00016156 	Yes 	Yes 		
C27A12.7 (ari-1.2) 	WBGene00016157 	Yes 	Yes 		
C27A12.9 (pigo-1) 	WBGene00016159 	Yes 	Yes 		
C30F12.1 (rege-1) 	WBGene00016260 	Yes 	Yes 		
C30F12.2 	WBGene00016261 	Yes 	Yes 	4 	Yes
C30H7.2 (erp-44.1) 	WBGene00016278 	Yes 	Yes 	1 	Yes
C32E8.5 (pmlr-1) 	WBGene00016323 	Yes 	Yes 		
C32E8.9 	WBGene00016325 	Yes 	Yes 	1 	Yes
C34B2.10 (spcs-1) 	WBGene00016395 	Yes 	Yes 	3 	Yes, embryonic lethal
C34B2.6 (lonp-1) 	WBGene00016391 	Yes 	Yes 		
C34B2.8 	WBGene00016393 	Yes 	Yes 	1 	Yes, embryonic lethal
C34B7.2 (figo-1) 	WBGene00007912 	Yes 	Yes 		
C37A2.6 	WBGene00016492 	Yes 	Yes 		
C37A2.7 	WBGene00016493 	Yes 	Yes 		
C41D11.3 	WBGene00016562 	Yes 	Yes 		
C43E11.9 	WBGene00016607 	Yes 	Yes 		
C44E4.1 (ubr-4) 	WBGene00016650 	Yes 	Yes 		
C44E4.5 	WBGene00016654 	Yes 	Yes 		
C45G3.3 (lipt-1) 	WBGene00001590 	Yes 	Yes 		
C47B2.2 	WBGene00008131 	Yes 	Yes 		
C48B6.2 	WBGene00016740 	Yes 	Yes 	4 	Yes, embryonic lethal
C50F2.3 (syf-1) 	WBGene00016837 	Yes 	Yes 	6 	Yes, embryonic lethal
C53D5.1 	WBGene00016902 	Yes 	Yes 		
C53D5.5 	WBGene00016906 	Yes 	Yes 		
C53H9.2 	WBGene00016907 	Yes 	Yes 	1 	Yes
calm-1 	WBGene00009260 	Yes 	Yes 		
car-1 	WBGene00012484 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
cars-1 	WBGene00000800 	Yes 	Yes 	1 	Yes, embryonic lethal
cas-2 	WBGene00015975 	Yes 	Yes 		
ccb-1 	WBGene00000368 	Yes 	Yes 		
cco-1 (cox-5B) 	WBGene00000371 	Yes 	Yes 	2 	Yes
ccpp-1 	WBGene00018995 	Yes 	Yes 	1 	Yes
cdc-25.1 	WBGene00000386 	Yes 	Yes 	6 	Yes, embryonic lethal
cdc-48.3 	WBGene00010562 	Yes 	Yes 	3 	Yes, embryonic lethal
cdc-5L 	WBGene00008386 	Yes 	Yes 	6 	Yes, embryonic lethal
cdc-7 	WBGene00016421 	Yes 	Yes 	4 	Yes
cdk-8 	WBGene00000409 	Yes 	Yes 	1 	Yes
cdk-9 	WBGene00000410 	Yes 	Yes 	4 	Yes, embryonic lethal
cdt-1 	WBGene00000413 	Yes 	Yes 	4 	Yes, embryonic lethal
cebp-2 	WBGene00016754 	Yes 	Yes 	1 	Yes
ced-1 	WBGene00000415 	Yes 	Yes 		
ced-12 	WBGene00000426 	Yes 	Yes 	1 	Yes
ceh-45 	WBGene00022837 	Yes 	Yes 		
ceh-6 	WBGene00000431 	Yes 	Yes 		
cel-1 	WBGene00000466 	Yes 	Yes 	6 	Yes, embryonic lethal
ces-1 	WBGene00000468 	Yes 	Yes 		
ces-2 	WBGene00000469 	Yes 	Yes 	2 	Yes
cey-2 	WBGene00000473 	Yes 	Yes 	6 	Yes, embryonic lethal
cey-3 	WBGene00000474 	Yes 	Yes 	2 	Yes
cfim-1 	WBGene00009668 	Yes 	Yes 		
chaf-2 	WBGene00022141 	Yes 	Yes 	4 	Yes, embryonic lethal
chd-1 	WBGene00010369 	Yes 	Yes 		
chd-7 	WBGene00007053 	Yes 	Yes 	3 	Yes
chn-1 	WBGene00000500 	Yes 	Yes 		
chp-1 	WBGene00000502 	Yes 	Yes 	4 	Yes, embryonic lethal
cir-1 	WBGene00018892 	Yes 	Yes 	6 	Yes, embryonic lethal
cogc-3 	WBGene00022121 	Yes 	Yes 		
cogc-5 	WBGene00016608 	Yes 	Yes 		
copa-1 	WBGene00022119 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
coq-1 	WBGene00000761 	Yes 	Yes 		
cpb-3 	WBGene00000772 	Yes 	Yes 		
cpd-1 	WBGene00019074 	Yes 	Yes 		
cpz-1 	WBGene00000788 	Yes 	Yes 		
